    date        open    close   high    low     volume  money
2022-08-16  4498.0  4498.0  4498.0  4498.0       1.0  6.747000e+04
2022-08-17  4486.0  4500.0  4511.0  4486.0       7.0  4.729950e+05
2022-08-18  4433.0  4391.0  4436.0  4391.0      10.0  6.618900e+05
2022-08-19  4373.0  4352.0  4387.0  4344.0      29.0  1.893450e+06
2022-08-22  4339.0  4321.0  4346.0  4312.0      16.0  1.039590e+06
2022-08-23  4308.0  4319.0  4365.0  4308.0      78.0  5.072910e+06
2022-08-24  4322.0  4366.0  4384.0  4312.0      59.0  3.851970e+06
2022-08-25  4350.0  4385.0  4388.0  4349.0      14.0  9.183600e+05
2022-08-26  4370.0  4374.0  4375.0  4365.0       9.0  5.902350e+05
2022-08-29  4377.0  4295.0  4405.0  4288.0      53.0  3.432075e+06
2022-08-30  4301.0  4309.0  4333.0  4297.0      14.0  9.063750e+05
2022-08-31  4254.0  4262.0  4332.0  4254.0      27.0  1.731615e+06
2022-09-01  4219.0  4175.0  4229.0  4156.0      99.0  6.211200e+06
2022-09-02  4161.0  4216.0  4218.0  4160.0      42.0  2.643420e+06
2022-09-05  4216.0  4246.0  4260.0  4215.0      68.0  4.320660e+06
2022-09-06  4244.0  4275.0  4289.0  4236.0      25.0  1.601850e+06
2022-09-07  4255.0  4232.0  4258.0  4189.0      52.0  3.297735e+06
2022-09-08  4235.0  4294.0  4294.0  4228.0      43.0  2.751810e+06
2022-09-09  4287.0  4362.0  4362.0  4272.0      62.0  4.020060e+06
2022-09-13  4495.0  4499.0  4506.0  4470.0     101.0  6.802500e+06
2022-09-14  4436.0  4440.0  4470.0  4406.0     124.0  8.251815e+06
2022-09-15  4464.0  4436.0  4487.0  4431.0     240.0  1.606150e+07
2022-09-16  4460.0  4395.0  4470.0  4385.0     109.0  7.231965e+06
2022-09-19  4400.0  4439.0  4475.0  4394.0      60.0  4.001925e+06
2022-09-20  4427.0  4454.0  4470.0  4423.0      25.0  1.669635e+06
2022-09-21  4424.0  4467.0  4476.0  4404.0      81.0  5.394120e+06
